game_id,season,week,gameday,away_team,home_team,home_score,away_score,result,home_win_actual,incumbent_home_win_prob,base_incumbent_prob,predicted_winner,confidence_bucket,model_version,model_date,training_seasons,feature_set,calibration_method,model_holdout_ll,elo_k,elo_hfa,elo_reg,elo_decay,elo_qb_bonus,overlay_gamma,overlay_cap,overlay_gate_active,home_qb_adj,away_qb_adj,caution_qb_change,caution_neutral,caution_early_season,caution_missing_features,caution_model_market_disagreement,market_model_diff,market_prob_diagnostic,market_minus_model_diagnostic,qb_change_flag,game_type,roof,surface,weekday,div_game,log_loss,brier,correct,actual_winner,is_favorite_correct,is_underdog_correct
2019_01_BAL_MIA,2019,1,2019-09-08,BAL,MIA,10,59,-49,0.0,0.3556084987651818,0.453976665499334,BAL,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-40.5,31.2,0,0,1,0,0,-0.0866,0.269,-0.0866,0,REG,outdoors,grass,Sunday,0,0.4394,0.1265,1,BAL,0,1
2020_16_LA_SEA,2020,16,2020-12-27,LA,SEA,20,9,11,1.0,0.6484361658023555,0.6484361658023555,SEA,60-65,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,0,39.3,17.3,0,0,0,0,0,-0.1024,0.546,-0.1024,0,REG,outdoors,fieldturf,Sunday,1,0.4332,0.1236,1,SEA,1,0
2020_02_BUF_MIA,2020,2,2020-09-20,BUF,MIA,28,31,-3,0.0,0.3513654287977957,0.416183747967158,BUF,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-40.8,7.7,0,0,1,0,0,-0.0415,0.3099,-0.0415,0,REG,outdoors,grass,Sunday,1,0.4329,0.1235,1,BUF,0,1
2019_19_SEA_GB,2019,19,2020-01-12,SEA,GB,28,23,5,1.0,0.6490686017540116,0.6490686017540116,GB,60-65,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,0,35.1,40.2,0,0,0,0,0,0.0234,0.6725,0.0234,0,DIV,outdoors,grass,Sunday,0,0.4322,0.1232,1,GB,1,0
2020_13_NO_ATL,2020,13,2020-12-06,NO,ATL,16,21,-5,0.0,0.3499680329280034,0.3464405713358173,NO,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,5.2,2.5,0,0,0,0,0,0.0796,0.4295,0.0796,0,REG,closed,fieldturf,Sunday,1,0.4307,0.1225,1,NO,0,1
2020_14_MIN_TB,2020,14,2020-12-13,MIN,TB,26,14,12,1.0,0.65008347636066,0.574704987455039,TB,65-70,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,77.8,-15.3,0,0,0,0,0,0.0882,0.7382,0.0882,0,REG,outdoors,grass,Sunday,0,0.4307,0.1224,1,TB,1,0
2020_11_KC_LV,2020,11,2020-11-22,KC,LV,31,35,-4,0.0,0.3494445450613204,0.4292948814022159,KC,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-18.5,77.5,0,0,0,0,0,-0.1045,0.245,-0.1045,0,REG,dome,grass,Sunday,1,0.4299,0.1221,1,KC,0,1
2020_04_NO_DET,2020,4,2020-10-04,NO,DET,29,35,-6,0.0,0.3493878388433328,0.3493878388433328,NO,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,0,-28.4,19.2,0,0,1,0,0,0.0583,0.4077,0.0583,0,REG,dome,fieldturf,Sunday,0,0.4298,0.1221,1,NO,0,1
2020_14_NE_LA,2020,14,2020-12-10,NE,LA,24,3,21,1.0,0.6516814956816789,0.6202444963446674,LA,65-70,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,21.1,-2.5,0,0,0,0,0,0.0249,0.6766,0.0249,0,REG,dome,matrixturf,Thursday,0,0.4282,0.1213,1,LA,1,0
2020_10_TB_CAR,2020,10,2020-11-15,TB,CAR,23,46,-23,0.0,0.3481515061336399,0.3835214083185989,TB,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,13.5,79.7,0,0,0,0,0,-0.0498,0.2983,-0.0498,0,REG,outdoors,grass,Sunday,1,0.4279,0.1212,1,TB,0,1
